DESCRIÇÃO,PREÇO,LINK
Console Playstation 5 Midia Fisica Slim Branco 1tb Returnal E Ratchet E Clank Controle Sem Fio Dualsense Branco,4.599,https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-slim-branco-1tb-returnal-e-ratchet-e-clank-controle-sem-fio-dualsense-branco/up/MLBU2925690497#polycard_client=search-nordic&search_layout=grid&position=44&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5244148072&sid=search
Console Sony Playstation 5 Slim Digital 1 Tera Novo Lacrado + Ea Fc Fifa 26 + God Raganarok + Gta 5 + Mkt 1 + Resident 4 + Forza Horizon + Red Dead 2,4.999,https://produto.mercadolivre.com.br/MLB-4213005481-console-sony-playstation-5-slim-digital-1-tera-novo-lacrado-ea-fc-fifa-26-god-raganarok-gta-5-mkt-1-resident-4-forza-horizon-red-dead-2-_JM?searchVariation=190956581067#polycard_client=search-nordic&searchVariation=190956581067&search_layout=grid&position=34&type=item&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc
Playstation 5 Slim Midia Fisica Com 2 Controles + Spider Man2 Ps5 Branco/preto,4.999,https://www.mercadolivre.com.br/playstation-5-slim-midia-fisica-com-2-controles--spider-man2-ps5/up/MLBU1989367992#polycard_client=search-nordic&search_layout=grid&position=42&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4465220250&sid=search
Ps5 Sony Edição Especial Spider Man 2 Cor Preto (Novo com caixa aberta),5.099,https://www.mercadolivre.com.br/ps5-sony-edico-especial-spider-man-2-cor-preto-novo-com-caixa-aberta/p/MLB2022622227#polycard_client=search-nordic&search_layout=grid&position=46&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4206772955&sid=search
Console Playstation®5 Slim Disk - Pacote Astro Bot E Gran Turismo 7 Branco,5.265,https://www.mercadolivre.com.br/console-playstation5-slim-disk-pacote-astro-bot-e-gran-turismo-7-branco/p/MLB57083347#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5728106336&sid=search
Sony Playstation 5 Slim Digital Edição 30 Anos - Ps5 Slim Digital Edição Limitada 30 Anos Cinza,5.265,https://www.mercadolivre.com.br/sony-playstation-5-slim-digital-edicao-30-anos--ps5-slim-digital-edicao-limitada-30-anos/up/MLBU2649571467#polycard_client=search-nordic&search_layout=grid&position=31&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5151255922&sid=search
Sony Playstation 5 Pro 2tb - Novo Lacrado A Pronta Entrega 1 Ano De Garantia - Ps5 Pro 2tb Branco,5.509,https://www.mercadolivre.com.br/sony-playstation-5-pro-2tb--novo-lacrado-a-pronta-entrega-1-ano-de-garantia--ps5-pro-2tb/up/MLBU2722363072#polycard_client=search-nordic&search_layout=grid&position=24&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3903289561&sid=search
Kit Console Playstation 5 Ps5 2 Controles + Spider Man 2 Branco/preto,5.519,https://www.mercadolivre.com.br/kit-console-playstation-5-ps5-2-controles--spider-man-2/up/MLBU1975790123#polycard_client=search-nordic&search_layout=grid&position=48&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3605160827&sid=search
Sony Playstation 5 Edição Spider-man 2 Novo Lacrado Pronta Entrega - Ps5 Spider-man 2 Com Leitor Vermelho/preto,5.519,https://www.mercadolivre.com.br/sony-playstation-5-edicao-spiderman-2-novo-lacrado-pronta-entrega--ps5-spiderman-2-com-leitor/up/MLBU1729751963#polycard_client=search-nordic&search_layout=grid&position=51&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3439762403&sid=search
Console PlayStation® 5 Slim Edição Digital 1TB Branco - Sony,6.049,https://www.mercadolivre.com.br/console-playstation-5-slim-edico-digital-1tb-branco-sony/p/MLB29001054#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3606139177&sid=search
Sony PlayStation 5 Slim Digital CFI-2000 1 TB Ratchet & Clank Rift Apart Returnal color branco,6.049,https://www.mercadolivre.com.br/sony-playstation-5-slim-digital-cfi-2000-1-tb-ratchet-clank-rift-apart-returnal-color-branco/p/MLB37300294#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5598367174&sid=search
Console Playstation 5 Slim  2 Controles + Ea Fc  Ps5 Novo Lacrado Branco,6.799,https://www.mercadolivre.com.br/console-playstation-5-slim--2-controles--ea-fc--ps5-novo-lacrado/up/MLBU2414768931#polycard_client=search-nordic&search_layout=grid&position=20&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5127669952&sid=search
Sony Playstation 5 Slim 1tb Standard Ps5 + Gta V Com 8 Jogos Branco,7.399,https://www.mercadolivre.com.br/sony-playstation-5-slim-1tb-standard-ps5--gta-v-com-8-jogos/up/MLBU3413681599#polycard_client=search-nordic&search_layout=grid&position=22&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5691659712&sid=search
Console PlayStation 5 Midia Fisica Slim Branco 1TB Returnal e Ratchet e Clank Controle Sem Fio Dualsense Branco,8.009,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=sMKsgAD0P67GueACyBs4HhTIS5oQ3vfF6jBFFiKU7ihxbbmpjuafk0hWn0NcFJKMHQSfZBKFM%2FW%2By2RXgeNROFgNnydExFfQpvyJTKK6DmPskSmHZnY12LXvL9vJmALRnUYk5BYqFYvCyYvleEdcekMPmUjUShHiakzwWugUZBSZEp0a%2FahaiqCflwidvaQwFw3DzWcdNI2t%2BjNdT7Z%2B576GHt0bhCqTAWCmYQ1yYVspakbCGOh%2FM6lSpdeFzeEzh0SIXX6DdnQDpATwR%2FY46J11FGxX16rfeBK%2FhixjDeaQA2MbLZqlDHP%2Fz72F0TPoz39oCZz5SN2s8%2FsfcOq6V5CDv8P1dhVPeRXMRmNz0u77%2B1scho%2Bh7rHN7qvde3FRf49v5pKcbDZ090KYMYN5IUH7L%2BVFk%2FX6hdkt2JL6EeEbOJRxTPEUKMGQOnE6Z9MxMBCD7eHe0p8KJfV%2BXtd5t%2Bis88aw9VUA%2BDfRAy%2BbyXrjJLHN7xAGAmnckJb0rFSoGbzU0G9sxj9uOjy5AGgnQvzr%2FPevdFeMt62rqDez3h1ORy7HBZh3ifgajV5KNgb8hYGDu7Ounzy8tqM2tILKOHXgScDg0mFPqMBhpEy8NzXrHPWUsXmDEMZAetuefU4SIXSg%2FGojzxCkCWwPRKK20pymhhQD28c9CsORG3HcF0Nu20IzgWLcF1ih5yWdpk%2FelR8isbTNEMTmQDoZhPVYIeVRZYUErbd9KfceWlbCqlLJxMITezwrSU3zeVE%2BinSget3vqSoun8HTojAklJU6aJXlyeIxUmY9%2FVbyAM%2BkKvXDMZnYPb2Y%2Buo2hEc6RDO5q%2FjbVwg%2FSdx9tUxYbPt10jfOmHhlE5f1g7zMzALCH4j4ztMZS7bTKJxt1jXamBxwAY1f5EZm6LmsFlUjo6ItR9SiUPLK5rpEiSinGO7dwROr2os%2BWY0Vb0MhL4Ck12yMXIdnUIVd3T%2BGoWL%2B%2BrimAYNxIgvjHsKw%2BiyuaAO5B253%2FVPthC163I%2FojFThGX%2BW#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB39459985&backend_model=search-backend&search_layout=grid&position=3&type=pad&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3660928281&sid=search
Console PlayStation 5 Midia Fisica Slim Branco 1TB Returnal e Ratchet e Clank Controle Sem Fio Dualsense Branco,8.009,https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-slim-branco-1tb-returnal-e-ratchet-e-clank-controle-sem-fio-dualsense-branco/p/MLB39459985#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB3660928281&sid=search
Playstation 5 Ps5 Midia Fisica + Um Jogo Fc Fifa 26 Branco,8.191,https://www.mercadolivre.com.br/playstation-5-ps5-midia-fisica--um-jogo-fc-fifa-26/up/MLBU3440805194#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4217131649&sid=search
